series,wiki_title,status,type,subtype,operator_page_title,operator_jp,operator_en,full_name
E127系,JR東日本E127系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E127系電車
205系,国鉄205系電車,現役,電車,通勤形,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄205系電車
209系,JR東日本209系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本209系電車
E501系,JR東日本E501系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E501系電車
701系,JR東日本701系電車,現役,電車,通勤形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本701系電車
E129系,JR東日本E129系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E129系電車
E131系,JR東日本E131系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E131系電車
E231系,JR東日本E231系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E231系電車
E233系,JR東日本E233系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E233系電車
E235系,JR東日本E235系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E235系電車
E531系,JR東日本E531系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E531系電車
E721系,JR東日本E721系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E721系電車
EV-E301系,JR東日本EV-E301系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本EV-E301系電車
EV-E801系,JR東日本EV-E801系電車,現役,電車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本EV-E801系電車
E491系,JR東日本E491系電車,現役,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E491系電車
E493系,JR東日本E493系電車,現役,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E493系電車
FV-E991系,JR東日本FV-E991系電車,現役,電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本FV-E991系電車
キハ40系,国鉄キハ40系気動車 (2代),現役,気動車,一般形,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄キハ40系気動車 (2代)
キハ100系,JR東日本キハ100系・キハ110系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハ100系・キハ110系気動車
キハ110系,JR東日本キハ100系・キハ110系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハ100系・キハ110系気動車
キハE120形,JR東日本キハE120形気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハE120形気動車
キハE130系,JR東日本キハE130系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハE130系気動車
GV-E400系,JR東日本GV-E400系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本GV-E400系気動車
キハE200形,JR東日本キハE200形気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キハE200形気動車
HB-E210系,JR東日本HB-E210系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本HB-E210系気動車
HB-E220系,JR東日本HB-E220系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本HB-E220系気動車
HB-E300系,JR東日本HB-E300系気動車,現役,気動車,一般形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本HB-E300系気動車
キヤE193系,JR東日本キヤE193系気動車,現役,気動車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本キヤE193系気動車
キヤE195系,JR東海キヤ97系気動車#JR東日本キヤE195系気動車,現役,気動車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東海キヤ97系気動車#JR東日本キヤE195系気動車
GV-E197系,JR東日本GV-E197系気動車,現役,気動車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本GV-E197系気動車
E001形,TRAIN SUITE 四季島#使用車両・編成,現役,電気・ディーゼル両用（EDC方式）車両,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E001形クルーズトレイン「TRAIN SUITE 四季島」
200系,新幹線200系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線200系電車
400系,新幹線400系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線400系電車
E1系,新幹線E1系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E1系電車
E4系,新幹線E4系電車,廃止,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E4系電車
921形,ドクターイエロー#921形,廃止,新幹線電車,事業用,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",ドクターイエロー#921形
925形,ドクターイエロー#925形,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",ドクターイエロー#925形
952形,新幹線952形・953形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線952形・953形電車
953形,新幹線952形・953形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線952形・953形電車
E954形,新幹線E954形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E954形電車
E955形,新幹線E955形電車,廃止,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E955形電車
EF55形,国鉄EF55形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF55形電気機関車
EF58形,国鉄EF58形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄EF58形電気機関車
EF60形,国鉄EF60形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄EF60形電気機関車
EF62形,国鉄EF62形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF62形電気機関車
EF63形,国鉄EF63形電気機関車,廃止,電気機関車,直流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF63形電気機関車
EF510形,JR貨物EF510形電気機関車,廃止,電気機関車,交直両用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR貨物EF510形電気機関車
ED75形,国鉄ED75形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄ED75形電気機関車
ED77形,国鉄ED77形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄ED77形電気機関車
ED78形,国鉄ED78形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄ED78形電気機関車
EF71形,国鉄EF71形電気機関車,廃止,電気機関車,交流用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄EF71形電気機関車
DD15形,国鉄DD15形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄DD15形ディーゼル機関車
DD16形,国鉄DD16形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄DD16形ディーゼル機関車
DD17形,国鉄DD17形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄DD17形ディーゼル機関車
DD18形,JR東日本DD18形ディーゼル機関車,廃止,ディーゼル機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本DD18形ディーゼル機関車
